# Constructed from biom file
#OTU ID	1111-ITS	1112-ITS	1113-ITS	1121-ITS	1122-ITS	1123-ITS	1131-ITS	1132-ITS	1133-ITS	1211-ITS	1212-ITS	1213-ITS	1221-ITS	1222-ITS	1223-ITS	1231-ITS	1232-ITS	1233-ITS	1311-ITS	1312-ITS	1313-ITS	1321-ITS	1322-ITS	1323-ITS	1331-ITS	1332-ITS	1333-ITS	2111-ITS	2112-ITS	2113-ITS	2121-ITS	2122-ITS	2123-ITS	2131-ITS	2132-ITS	2133-ITS	2211-ITS	2212-ITS	2213-ITS	2221-ITS	2222-ITS	2223-ITS	2231-ITS	2232-ITS	2233-ITS	2311-ITS	2313-ITS	2323-ITS	2331-ITS	2332-ITS	3111-ITS	3112-ITS	3113-ITS	3121-ITS	3122-ITS	3123-ITS	3131-ITS	3132-ITS	3133-ITS	3211-ITS	3212-ITS	3213-ITS	3221-ITS	3222-ITS	3223-ITS	3231-ITS	3232-ITS	3233-ITS	3311-ITS	3312-ITS	3313-ITS	3321-ITS	3322-ITS	3323-ITS	3331-ITS	3332-ITS	3333-ITS
ad2beb24e8980ec38562b1268aca89f6	5018.0	5580.0	1584.0	1075.0	1538.0	1937.0	1332.0	2408.0	5066.0	536.0	1346.0	5793.0	472.0	5274.0	4387.0	11384.0	353.0	6982.0	8684.0	7780.0	2274.0	2288.0	14244.0	1367.0	659.0	244.0	382.0	2595.0	8449.0	4904.0	1200.0	1075.0	1897.0	17197.0	13426.0	1061.0	5200.0	7277.0	5493.0	2426.0	2174.0	5192.0	997.0	6221.0	4250.0	391.0	3417.0	2167.0	131.0	88.0	80.0	2154.0	634.0	2914.0	11387.0	5415.0	2105.0	3749.0	340.0	2457.0	4920.0	2077.0	50.0	173.0	4173.0	1153.0	2487.0	2558.0	78.0	5423.0	2890.0	11263.0	617.0	137.0	3965.0	3125.0	323.0
133e827621d053b13653455843c89859	1253.0	1553.0	550.0	10.0	405.0	3044.0	1654.0	7629.0	2390.0	95.0	7845.0	217.0	236.0	3191.0	4055.0	5688.0	1120.0	27769.0	2334.0	324.0	472.0	1912.0	2785.0	25.0	160.0	7.0	38.0	815.0	1134.0	1180.0	256.0	126.0	1053.0	2779.0	6514.0	3528.0	1606.0	8159.0	2805.0	290.0	1761.0	2822.0	1832.0	1694.0	7178.0	15.0	1724.0	2562.0	66.0	30.0	47.0	3858.0	984.0	1068.0	1271.0	4813.0	1132.0	3967.0	388.0	1917.0	2691.0	1246.0	163.0	289.0	1169.0	12131.0	220.0	5130.0	68.0	8486.0	5558.0	6201.0	22.0	26.0	2229.0	6605.0	1796.0
dd2488e5ac9f18af2df031072f7a9d2a	2163.0	4261.0	859.0	1371.0	365.0	5989.0	3683.0	1078.0	5615.0	0.0	940.0	0.0	0.0	28.0	1880.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	4350.0	1559.0	714.0	19.0	251.0	986.0	4235.0	2679.0	0.0	15.0	19.0	743.0	1277.0	0.0	787.0	174.0	0.0	12936.0	248.0	553.0	1511.0	108.0	0.0	289.0	250.0	14402.0	56.0	109.0	587.0	1611.0	4488.0	616.0	1070.0	20.0	72.0	26.0	0.0	682.0	519.0	2272.0	688.0	1839.0	2419.0	290.0	324.0	2600.0	250.0	1653.0	667.0	4749.0	266.0	408.0	621.0	398.0	0.0
be8fd1bf51a67ddf40f7fa2cfb813c82	1884.0	5530.0	3044.0	347.0	0.0	6.0	0.0	0.0	13.0	0.0	334.0	20.0	0.0	0.0	735.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4226.0	0.0	22.0	13.0	100.0	3915.0	2186.0	814.0	0.0	0.0	0.0	0.0	489.0	0.0	1564.0	248.0	57.0	1077.0	169.0	0.0	38.0	0.0	0.0	42.0	4960.0	8193.0	213.0	227.0	42.0	4329.0	2442.0	2282.0	166.0	2833.0	115.0	46.0	184.0	416.0	612.0	2257.0	421.0	829.0	3570.0	1816.0	327.0	2700.0	20.0	10860.0	259.0	3742.0	271.0	43.0	231.0	313.0	0.0
8c8c944ae4387e4a487e33c1f15ff4f8	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	23874.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	24737.0	3.0	5.0	3.0	0.0	0.0	0.0	0.0	2547.0	0.0	0.0	792.0	10728.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eec8eaa22e94d8e4538ff03188c8dc9d	907.0	3859.0	1088.0	1224.0	245.0	1526.0	95.0	516.0	1298.0	0.0	3515.0	0.0	178.0	0.0	2208.0	112.0	114.0	0.0	0.0	78.0	0.0	0.0	4709.0	6525.0	0.0	58.0	291.0	2378.0	8210.0	4476.0	0.0	47.0	0.0	0.0	808.0	410.0	2808.0	485.0	1116.0	2581.0	1107.0	774.0	359.0	235.0	103.0	34.0	839.0	1750.0	85.0	91.0	591.0	795.0	380.0	687.0	1648.0	926.0	0.0	784.0	0.0	0.0	904.0	1005.0	0.0	648.0	1346.0	244.0	0.0	1138.0	54.0	546.0	187.0	1040.0	0.0	81.0	335.0	359.0	22.0
6181fcbef7b78e4f6b7f5af094c1c92c	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3720.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	49656.0	7.0	5.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
2e8114cfdc8c3a5c730023775f84f15b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.0	0.0	0.0	0.0	6.0	0.0	46241.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0b89431fbf52dda491892cbe02e02b3a	0.0	0.0	0.0	0.0	58.0	170.0	20.0	104.0	0.0	26.0	12.0	128.0	2.0	0.0	25.0	0.0	465.0	0.0	0.0	0.0	12120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2566.0	13020.0	0.0	0.0	44.0	0.0	19.0	0.0	0.0	0.0	11.0	1093.0	0.0	13703.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10995.0	96.0	0.0	162.0	0.0	270.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	18196.0	0.0	527.0
06f82f3227bb9475d6720dbca180ccc0	151.0	135.0	40.0	0.0	2778.0	0.0	2625.0	36.0	210.0	0.0	0.0	31.0	0.0	0.0	4788.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8073.0	0.0	0.0	0.0	0.0	6.0	58.0	0.0	512.0	375.0	0.0	0.0	22.0	0.0	476.0	3119.0	5200.0	15.0	687.0	2399.0	0.0	765.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	458.0	61.0	95.0	592.0	117.0	0.0	887.0	46.0	417.0	1157.0	243.0	0.0	0.0	199.0	453.0	312.0	258.0	5.0	371.0	152.0	0.0	0.0	0.0	374.0	1378.0	327.0
