sample-id
1111-16S
1112-16S
1113-16S
1121-16S
1122-16S
1123-16S
1131-16S
1132-16S
1133-16S
1211-16S
1212-16S
1213-16S
1221-16S
1222-16S
1223-16S
1231-16S
1232-16S
1233-16S
1311-16S
1312-16S
1313-16S
1321-16S
1322-16S
1323-16S
1331-16S
1332-16S
1333-16S
2111-16S
2112-16S
2113-16S
2121-16S
2122-16S
2123-16S
2131-16S
2132-16S
2133-16S
2211-16S
2212-16S
2213-16S
2221-16S
2222-16S
2223-16S
2231-16S
2232-16S
2233-16S
2311-16S
2313-16S
2323-16S
2331-16S
2332-16S
3111-16S
3112-16S
3113-16S
3121-16S
3122-16S
3123-16S
3131-16S
3132-16S
3133-16S
3211-16S
3212-16S
3213-16S
3221-16S
3222-16S
3223-16S
3231-16S
3232-16S
3233-16S
3311-16S
3312-16S
3313-16S
3321-16S
3322-16S
3323-16S
3331-16S
3332-16S
3333-16S
